Title,Developer(s)
3-in-1 Sports Pack: Paintball Splat! / Dodgeball Dodge This! / Big Alley Bowling NA • Majesco's Sport Pack PAL,Skyworks Technologies
"007: Everything or Nothing NA, PAL • James Bond 007: Everything or Nothing JP • 007: Quitte ou Double FR • 007: Alles oder Nichts DE",Griptonite Games
007: Nightfire,JV Games Inc.
A Sound of Thunder,Möbius Entertainment
Ace Combat Advance,HumanSoft
Ace Lightning,Tiertex Design Studios
Action Man: Robot Atak,Magic Pockets
Activision Anthology,Aspyr
Advance Guardian Heroes,Treasure Co. Ltd
"Advance Wars NA, PAL • Game Boy Wars Advance & Game Boy Wars Advance 2 JP",Intelligent Systems
Advance Wars 2: Black Hole Rising,Intelligent Systems
Adventure of Tokyo Disney Sea,
The Adventures of Jimmy Neutron vs. Jimmy Negatron,HumanSoft
"The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies NA, PAL • Jimmy Neutron un Garçon Génial: L'Attaque des Twonkies FR",Tantalus
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Helixe
"Aero the Acro-Bat: Rascal Rival Revenge NA, PAL • Acrobat Kid JP",Atomic Planet
Agassi Tennis Generation,Aqua Pacific
Agent Hugo: Roborumble,Program-Ace
Aggravation / Sorry / Scrabble Junior,Gravity-I
Aggressive Inline,Full Fat
AirForce Delta Storm NA • Airforce Delta II JP • Deadly Skies PAL,Mobile21
Aka-chan Dōbutsuen,
Akagi: Yami ni Maiorita Tensai,Culture Brain
Aleck Bordon Adventure: Tower and Shaft Advance,Aruze
Alex Ferguson's Player Manager 2002 UK • Total Soccer Manager PAL • Guy Roux Manager 2002 FR,Exient Entertainment
Alex Rider: Stormbreaker,Razorback Developments
Alienators: Evolution Continues,Digital Eclipse
Alien Hominid,Tuna
All Grown Up!: Express Yourself NA • Razbitume! — Restez Branches! FR,Altron
All-Star Baseball 2003,Software Creations
All-Star Baseball 2004,Acclaim Studios Manchester
Altered Beast: Guardian of the Realms,3d6 Games
The Amazing Virtual Sea-Monkeys,Elo Interactive
"American Bass Challenge NA • Super Black Bass Advance JP, PAL",Starfish
American Idol NA • Pop Idol PAL • Deutschland sucht den Superstar DE,Rockstar Leeds
"An American Tail: Fievel's Gold Rush NA, PAL • Fievel et le Trésor Perdu FR • Feivel der Mauswanderer und der Verborgene Schatz DE",Hokus-Pokus
Angel Collection - Mezase! Gakuen no Fashion Leader,Gakken
Angel Collection 2: Pichimo Ni Narou,Gakken
Angelique,Ruby Party
Animal Mania: Dokidoki Aishou Check,Jupiter
Animal Snap: Rescue Them 2 by 2,Awesome Developments
Animal Yokochou: Doki*Doki Kyushutsu Daisakusen! no Maki,
Animal Yokochou: Doki Doki Shinkyuu Shiken! no Kan,Konami
