Title,Developer(s)
0 Degrees,"EastAsiaSoft, Nerd Games, Kiddo Dev"
0x0 Minimalist,Indie Team
#1 Anagrams,Eclipse Games
#1 Crosswords,Eclipse Games
#1 Sudokus,Eclipse Games
1-2-Switch,Nintendo EPD
10 Second Ninja X,Four Circle Interactive
10 Second Run Returns,Blue Print
100animalease,sewohayami
103,Dystopia Interactive
11111Game,Insane Code
112 Operator,Games Operators
112th Seed,"Nerd Games, Slider Games"
12 Is Better Than 6,Ink Stains Games
12 Labours of Hercules,"JetDogs, Zoom Out Games"
12 Labours of Hercules II: The Cretan Bull,"JetDogs, Zoom Out Games"
12 Labours of Hercules III: Girl Power,JetDogs
12 Labours of Hercules IV: Mother Nature,"JetDogs, Zoom Out Games"
12 Labours of Hercules V: Kids of Hellas,JetDogs
12 Labours of Hercules VI: Race for Olympus,JetDogs
12 Labours of Hercules VII: Fleecing The Fleece,JetDogs
12 Orbits,Roman Uhilg
123 Dots,Artax Games
13 Sentinels: Aegis Rim,Vanillaware
140,Carlsen Games
15in1 Solitaire,Inlogic Software
16-Bit Soccer,Sprakelsoft
1912: Titanic Mystery,Ocean Media
1917: The Alien Invasion DX,Andrade Games
1971 Project Helios,Reco Technology
1979 Revolution: Black Friday,Ink Stories
198X,Hi-Bit Studios
1993 Shenandoah,Limit Break
2048 Cat,Millo Games
2064: Read Only Memories Integral,MidBoss
20XX,Batterystaple Games
The 25th Ward: The Silver Case,"Grasshopper Manufacture, Active Gaming Media"
2in1: Application Driver and Serial Killer / Sniper,Studio João Victor
2urvive,2Bad Games
2weistein: The Curse of the Red Dragon,Red Octopus
2weistein: The Curse of the Red Dragon 2,Red Octopus
3 Little Pigs & Bad Wolf,Making
3 out of 10: Season One,Terrible Posture Games
32 Secs,isTom Games
36 Fragments of Midnight,Petite Games
39 Days to Mars,Its Anecdotal
3000th Duel,Neopopcorn
3D Advantime,Game Nacional
3D Air Hockey,Benoit Varasse
3D Arcade Fishing,Independent Arts Software
3D MiniGolf,Joindots
4x4 Dirt Track,BoomBit Games
60 Parsecs!,Robot Gentleman
60 Seconds!,Robot Gentleman
6180 the moon,"Turtle Cream, PokPoong Games"
64.0,Rebel Rabbit
7 Billion Humans,Tomorrow Corporation
7 Years From Now,Fumi&Room6
7th Sector,Sergey Noskov
8-Ball Pocket,Super PowerUp Games
8-Bit Farm,Kairosoft
80 Days,inkle
80's Overdrive,Insane Code
88 Heroes: 98 Heroes Edition,Bitmap Bureau
9 Monkeys of Shaolin,Sobaka Studio
9 -Nine-,Palette
9th Dawn III: Shadow of Erthil,Valorware
90s Super GP,"Nicalis, Pelikan13"
911 Operator,Jutsu Games
99Moves,EnjoyUp Games
99Seconds,EnjoyUp Games
99Vidas,QuByte Interactive
a,Banana Cat
AAA Clock,RedDeerGames
A-Kei Otaku,Worker Bee
A-Train: All Aboard! Tourism,Artdink
Aaero,Mad Fellows
Abarenbo Tengu & Zombie Nation,City Connection
Abbie's Farm for Kids and Toddlers,Asylum Square
Aborigenus,Drageus Games
Absolute Drift,Funselektor Labs
Abyss,EnjoyUp Games
Abyss: The Wraiths of Eden,Artifex Mundi
Abyss of the Sacrifice,Intense
Abzû,Giant Squid Studios
The Academy,Pine Studio
Acalesia,BAkau
Access Denied,Stately Snail
Ace Angler,Racjin
Ace Angler: Fishing Spirits,Racjin
Ace Invaders,Max Interactive Studio
Ace of Seafood,Nussoft
Ace Strike,Benoit Varasse
Aces of the Luftwaffe: Squadron,HandyGames
Achtung! Cthulhu Tactics,Auroch Digital
Acorn Tactics,Tacs Games
Across the Grooves,Nova-box
Act it Out XL! A Game of Charades,Snap Finger Click
Active Life: Outdoor Challenge,h.a.n.d.
Active Neurons,Sometimes You
Active Neurons 2,Sometimes You
Active Neurons 3: Wonders of the World,Sometimes You
Active Soccer 2019,The Fox Software
Actraiser Renaissance,Quintet
Actual Sunlight,WZO Games
Adam's Venture: Origins,Vertigo Games
Adrenaline Rush: Miami Drive,Cool Small Games
Advance Wars 1+2: Re-Boot Camp,WayForward
Adventure Academia: The Factured Continent,Acquire
Adventure Field 4,Wathitdew Record
The Adventure Pals,Massive Monster
Adventure Time: Pirates of the Enchiridion,Climax Studios
Adventure Llama,Orube Game Studio
The Adventures of 00 Dilly,Caipirinha Games
Adventures of Bertram Fiddle Episode 1: A Dreadly Business,Rumpus Animation
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,Rumpus Animation
Adventures of Chris,Guin Entertainment
The Adventures of Elena Temple: Definitive Edition,GrimTalin
Adventures of Pip,Tic Toc Games
The Adventures of Spunk Dodgers and Splat,Bolder Games
Adverse,Loneminded
Aegis Defenders,Guts Department
Aeolis Tournament,Beyond Fun Studio
Aeon Drive,2Awesome Studio
Aeon Must Die!,Limestone Games
AER Memories of Old,Daedalic Entertainment
Aerial_Knight's Never Yield,Aerial_Knight
Aery: Broken Memories,EpiXR Games
Aery: Calm Mind,EpiXR Games
Aery: A Journey Beyond Time,EpiXR Games
Aery: Little Bird Adventure,EpiXR Games
Aery: Sky Castle,EpiXR Games
Aeterna Noctis,Aeternum Game Studios
AeternoBlade,Corecell Technology
AeternoBlade II,Corecell Technology
AEW Fight Forever,Yuke's
AFL Evolution 2,Wicked Witch Software
Afterparty,Night School Studio
Afterpulse,Digital Legends
Agartha-S,Mebius
Agatha Christie – Hercule Poirot: The First Cases,Blazing Griffin
Agatha Christie: The ABC Murders,Artefacts Studio
Agatha Knife,Mango Protocol
Age of Sokoban,Erik Games
Ageless,One More Dream Studios
Agent A: A Puzzle in Disguise,Yak
Ages of Mages: The Last Keeper,YFC Games
Aggelos,Storybird Games
Agony,Madmind Studio
Aground,Fancy Fish Games
Ai Kiss 2,Giga
AI: The Somnium Files,Spike Chunsoft
AI: The Somnium Files – Nirvana Initiative,Spike Chunsoft
Aikano: Yukizora no Triangle,Prekano
Ailment,BeardyBird Games
Air,Key
Air Bounce: The Jump 'n' Run Challenge,EpiXR Games
Air Conflicts: Pacific Carriers,Games Farm
Air Conflicts: Secret Wars,Games Farm
Air Hockey,Sabec
Air Mail,N-Fusion Interactive
Air Missions: Hind,3Division
Air Racers,Benjamin Kistler
Air Stunt Racing,Pix Arts
Airborne Kingdom,The Wandering Band
Aircraft Evolution,Satur Entertainment
Airfield Mania,Sprakelsoft
Airhead,Octato
Airheart: Tales of Broken Wings,Blindflug Studios
Airoheart,Pixel Heart Studio
Akane,Ludic Studios
Akash: Path of the Five,Truant Pixel
Akatori,TeamNora Games
Akiba's Trip: Hellbound & Debriefed,Acquire
Akihabara: Feel the Rhythm Remixed,JMJ Interactive
Akihabara Crash! 123 Stage +1,Dorasu
Akinofa,Pixel Lantern
Akita Oga Mystery Guide: The Frozen Silverbell Flower,Happymeal
Akuto: Showdown,Hut 90
Alan Wake Remastered,Remedy Entertainment
Alba: A Wildlife Adventure,Ustwo
Alchemic Cutie,"Vakia, Viridian Software"
Alchemic Dungeons DX,Q-Cumber Factory
Alchemist Adventure,Bad Minions
Alchemist Simulator,"Art Games Studio, polyslash"
Alchemist's Castle,Kodobur Yazilim
Alchemic Jousts,Lunatic Pixels
Alder's Blood,Shockwork Games
Aldred Knight,QUByte Interactive
Aleste Collection,M2
Alex Kidd in Miracle World DX,Jankenteam
Alfonzo's Arctic Adventure,Spoony Bard Productions
Alfred Hitchcock – Vertigo,Pendulo Studios
Alice Gear Aegis CS: Concerto of Simulatrix,Pyramid
Alice in the Country of Hearts: Wonderful Black World,Idea Factory
Alice in the Country of Hearts: Wonderful White World,QuinRose
Alien Cruise,Cotton Game
Alien Escape,Korion
Alien Hominid Invasion,The Behemoth
Alien: Isolation,Creative Assembly
Aliens Drive Me Crazy,Rebel Twins
All-Star Fruit Racing,3D Clouds
All Walls Must Fall,inbetweengames
The Alliance Alive HD Remastered,Cattle Call
Alluris,562 Interactive
Almightree: The Last Dreamer,"Godspeed Games, Chocoarts"
The Almost Gone,Happy Volcano
Almost There: The Platformer,The Quantum Astrophysicists Guild
Alone With You,Benjamin Rivers
Along the Edge,Nova-box
Aloof,ButtonX
Alpaca Ball: Allstars,Salt Castle Studio
Alpha,Kaname
Alphadia Genesis,Exe Create
Alphadia Genesis 2,EXE-CREATE
Alphaset by Powgi,Lightwood Games
Alt-Frequencies,Accidental Queens
Alteric,Goonswarm
Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,Neilo
The Alto Collection,Team Alto
Aluna: Sentinel of the Shards,DigiArt Interactive
Alvastia Chronicles,Exe Create
Alveole,Emil Ismaylov And Denis Petrov
Alwa's Awakening,Elden Pixels
Alwa's Legacy,Elden Pixels
Always Sometimes Monsters,Vagabond Dog
Amaekata wa Kanojo Nari ni,Entergram
The Amazing American Circus,Juggler Games
Amazing Breaker,Dekovir
Amazing Brick Breaker,Cyberfront Korea
The Amazing Shinsengumi: Heroes in Love,D3 Publisher
The Ambassador: Fractured Timelines,TinyDino Games
Amber Isle,Ambertail Games
Ambition of the Slimes,Altairworks
America Wild Hunting,Benoit Varasse
American Fugitive,Fallen Tree Games
American Ninja Warrior: Challenge,Gaming Corps Austin
Amnesia,Design Factory
Amnesia Collection,Frictional Games
Amnesia Later x Crowd,Design Factory
Amnesia World,Design Factory
Amoeba Battle: Microscopic RTS Action,Grab Games
Among Pipes,Prison Games
Among the Sleep: Enhanced Edition,Krillbite Studio
Among Us,Innersloth
Anarcute,Anarteam
Ancestors Legacy,Destructive Creations
Ancient Rush 2,Heideland GameWork
Ancient Stories: Gods of Egypt,"Alawar, Panda Games Studio"
Angel's Punishment,B & GN Team
Angels of Death,Hoshikuzu KRNKRN
Angels with Scaly Wings,Radical Phi
AngerForce: Reloaded,Screambox Studio
Angelique Luminarise,Ruby Party
Angry Bunnies: Colossal Carrot Crusade,YFC Games
Angry Golf,Tero Lunkka
The Angry Video Game Nerd I & II Deluxe,FreakZone Games
Anima: Gate of Memories,Anima Project
Anima: Gate of Memories - The Nameless Chronicles,Anima Project
Animal Bomber,Piotr Skalski
Animal Crossing: New Horizons,Nintendo EPD
Animal Doctor,Caipirinha Games
Animal Fight Club,Marco Amadei
Animal Fun for Toddlers & Kids,winterworks
Animal Pals Bubble Pop,Digital Game Group
Animal Pairs: Matching & Concentration Game For Toddlers & Kids,winterworks
Animal Puzzle: Preschool Learning Game for Kids and Toddlers,McPeppergames
Animal Rivals,Blue Sunset Games
Animal Super Squad,DoubleMoose
Animal Up!,"Hook Games, FobTi Interactive"
Animals for Toddlers,winterworks
AnimaLudo,Marionette Games
Animated Jigsaws: Beautiful Japanese Scenery,Dico
Animated Jigsaws: Japanese Women,Dico
Animated Jigsaws: Wild Animals,Dico
Anime Studio Story,Kairosoft
Animus: Harbinger,Tenbirds
Animus: Revenant,Tenbirds
Animus: Stand Alone,Tenbirds
Ankh Guardian: Treasure of the Demon's Temple,Tom Create
Ankora: Lost Days,Chibig
Anna's Quest,Daedalic Entertainment
Anode,Kittehface Software
Anodyne,Analgesic Productions
Anodyne 2: Return to Dust,Analgesic Productions
Anonymous;Code,"Mages, Chiyomaru Studio"
Another Code: Recollection,Arc System Works
Another Lost Phone: Laura's Story,"Accidental Queens, Seaven Studio"
Another Sight,Lunar Great Wall Studios
Another World,Dotemu
AnShi,Heideland GameWorks
Ant-Gravity: Tiny's Adventure,QUByte Interactive
Anthill,Thunderful Publishing
Antiquia Lost,Exe Create
Antonball Deluxe,Summitsphere
AntVentor,Loopymood
AO Tennis 2,Big Ant Studios
Aokana: Four Rhythm Across the Blue,Sprite
Ape Out,Gabe Cuzzillo
Aperion Cyberstorm,aPriori Digital
Apex Legends,Respawn Entertainment
Apocalipsis: Wormwood Edition,Punch Punk Games
Apocryph: An Old-School Shooter,Bigzur Games
Apollo Justice: Ace Attorney Trilogy,Capcom
Apparition,MrCiastku
Apple Knight,Limitless
Apple Slash,Agelvik
Apsulov: End of Gods,Angry Demon Studios
Aqua Kitty UDX,Tikipod
Aqua Lungers,WarpedCore Studio
Aqua Moto Racing Utopia,Zordix
The Aquatic Adventure of the Last Human,YCJY
Aquatic Rampage,Game Nacional
Ara Fell: Enhanced Edition,Stegosoft Games
Aragami: Shadow Edition,Lince Works
Arc of Alchemist,Compile Heart
Arcade Classics Anniversary Collection,Konami
Arcade Fuzz,QuByte Interactive
Arcade Love: Plus Pengo!,Triangle Service
Arcade Space Shooter 2 in 1,Moraes Game Studio
Arcade Spirits,Fiction Factory Games
Arcaea,Lowiro
Arcane Arts Academy,QubicGames
Arcanoid Breakout,Pix Arts
Archaica: The Path of Light,Drageus Games
Archery Blast,Benoit Varasse
Archery Club,BoomBit Games
Archetype Arcadia,Water Phoenix
Archlion Saga,Hit Point
Area 86,SimDevs
Arena of Valor,Tencent
Aria Chronicle,Studio N9
Arietta of Spirits,Third Spirits
Ark: Survival Evolved,Studio Wildcard
Arkan: The Dog Adventurer,Sometimes You
Arkanoid - Eternal Battle,Pastagames
Arkham Horror: Mother's Embrace,Fantasy Flight Games
Armed 7 DX,Pixelheart
Armed Emeth,Hit-Point
Armello,League of Geeks
Arms,Nintendo EPD
Ar Nosurge DX,Gust Co. Ltd.
Arrest of a Stone Buddha,Yeo
Arrog,Leap Game Studios
Art of Balance,Shin'en Multimedia
Art of Rally,Funselektor Labs
Art Sqool,Julian Glander
The Artful Escape,Beethoven & Dinosaur
Artifact Adventure Gaiden DX,room6
Ary and the Secret of Seasons,"Exiin, Fishing Cactus"
Asatsugutori,Nippon Ichi Software
Ascendance,Onevision Games
Ascendant Hearts,Visualnoveler
Asdivine Cross,EXE-CREATE
Asdivine Dios,Exe Create
Asdivine Hearts,Exe Create
Asdivine Hearts II,Exe Create
Asdivine Kamura,Exe Create
Asdivine Menace,Exe Create
Asdivine Saga,EXE-CREATE
Asemblance,Nilo Studios
Ash of Gods: Redemption,Aurum Dust
Ashen,A44 Games
ASMR Journey: Jigsaw Puzzle,Leonardo Zufi
Asphalt 9: Legends,Gameloft Barcelona
Aspire: Ina's Tale,Wondernaut Studio
Assassin's Creed III Remastered,Ubisoft Montreal
Assassin's Creed Odyssey,Ubisoft Quebec
Assassin's Creed: The Ezio Collection,Virtuos
Assassin's Creed: The Rebel Collection,Ubisoft Montreal
Assault Android Cactus+,Witch Beam
Assault ChaingunS KM,Regista
Assault Gunners HD Edition,Honey Parade Games
Assault on Metaltron,Blue Sunset Games
Astalon: Tears of the Earth,LABSworks
Astebreed,Edelweiss
Asterix & Obelix: Slap Them All!,Mr. Nutz Studio
Asterix & Obelix XXL 2: Mission: Las Vegum,Osome Studio
Asterix & Obelix XXL 3: The Crystal Menhir,Microids
Asterix & Obelix XXL: Romastered,Osome Studio
Astlibra Revision,Keizo
Astral Chain,PlatinumGames
Astria Ascending,Artisan Studios
Astro Aqua Kitty,Tikipod
Astro Bears Party,QubicGames
