Title,Developer(s)
¡Qué pasa Neng! El videojuego,Mere Mortals
.hack//frägment,CyberConnect2
.hack//G.U.vol.1//Rebirth,CyberConnect2
.hack//G.U.vol.2//Reminisce,CyberConnect2
.hack//G.U.vol.3//Redemption,CyberConnect2
.hack//Infection Part 1,CyberConnect2
.hack//Mutation Part 2,CyberConnect2
.hack//Outbreak Part 3,CyberConnect2
.hack//Quarantine Part 4,CyberConnect2
_Summer,Hooksoft
007: NightFire,Eurocom
007: Quantum of Solace •007: Nagusame no HoushuuJP,Eurocom
10 Pin: Champions Alley,Liquid Games
"10,000 Bullets •Tsukiyo ni SarabaJP, KO",Blue Moon
120-en no Haru: 120 Yen Stories,Interchannel
12Riven: The Psi-Climinal of Integral,CyberFront
18 Wheeler American Pro Trucker,Acclaim Studios Cheltenham
187 Ride or Die,Ubisoft
1945 I & II The Arcade Games •Psikyo Shooting Collection Vol. 1: Strikers 1945 I+IIJP •Strikers 1945 I & IIKO,Psikyo
2002 FIFA World Cup,EA Canada
2003-Toshi Kaimaku – Ganbare Kyuukaiou,Magical Company
21 Card Games,Mere Mortals
24: The Game,SCE Studio Cambridge
25 to Life,Avalanche Software
2nd Super Robot Wars Alpha •Dai-2-Ji Super Robot Taisen AlphaJP,Banpresto
3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate!,Chunsoft
3LDK – Shiawase ni Narouyo,PrincessSoft
3rd Super Robot Wars Alpha: To the End of the Galaxy •Dai-3-Ji Super Robot Taisen Alpha Shuuen no Ginga eJP,Banpresto
4x4 EVO,Terminal Reality
4x4 EVO 2,Terminal Reality
50 Cent: Bulletproof,Genuine Games
7 Blades •Seven BladesJP,Konami
7 Sins,Monte Cristo Multimedia
7 Wonders of the Ancient World,MumboJumbo
A-Ressha de Ikou 2001,Artdink
A-Ressha de Ikou 2001 Perfect Set,Artdink
A.C.E.: Another Century's Episode,FromSoftware
A.C.E.: Another Century's Episode 2,FromSoftware
A.C.E.: Another Century's Episode 2 (Special Vocal Version),FromSoftware
A.C.E.: Another Century's Episode 3: The Final,FromSoftware
Aa Megami-sama,Marvelous
Abarenbō Princess,Alfa System
AC/DC Live: Rock Band Track Pack,Harmonix Music Systems
Ace Combat 04: Shattered Skies •Ace Combat: Distant ThunderPAL,Namco
Ace Combat 5: The Unsung War •Ace Combat: Squadron LeaderPAL,Namco
Ace Combat Zero: The Belkan War •Ace Combat: The Balkan WarPAL,Namco
Ace Lightning,Absolute Studios
Aces of War •Reishiki Kanjou SentoukiJP,Marionette
Action Girlz Racing,Data Design Interactive
Action Man A..TO.M.: Alpha Teens on Machines,Brain in a Jar
Activision Anthology,Contraband Entertainment
Adiboo and the Energy Thieves,Coktel Studio
ADK Damashii,SNK Playmore
Adventure of Tokyo Disney Sea,Konami
The Adventures of Cookie & Cream,FromSoftware
The Adventures of Darwin •Simple 2000 Series Vol. 99: The GenshijinJP •DarwinEU,Vingt-et-un Systems
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ
Æon Flux,Terminal Reality
Aero Elite: Combat Academy •Aero Dancing 4: New GenerationJP,Sega-AM2
Aerobics Revolution,Konami
AFL Live 2003,IR Gurus
AFL Live 2004,IR Gurus
AFL Live Premiership Edition,IR Gurus
AFL Premiership 2005: The Official Game of the AFL Premiership,IR Gurus
AFL Premiership 2006,IR Gurus
AFL Premiership 2007,IR Gurus
After...,Pionesoft
Agassi Tennis Generation,Aqua Pacific
Age of Empires II: The Age of Kings,Ensemble Studios
Agent Hugo,ITE Media
Agent Hugo: Hula Holiday,Attractive Games
Agent Hugo: Lemoon Twist,Coyote Console
Agent Hugo: Roborumble,ITE Media
Aggressive Inline,Z-Axis
AI Igo 2003,GeneX
AI Mahjong 2003,GeneX
AI Shogi 2003,GeneX
Ai Yori Aoshi,KID
Aikagi,NEC Interchannel
Air,NEC Interchannel
Air Raid 3,Phoenix Games
Air Ranger: Rescue Helicopter,ASK
Air Ranger 2: Rescue Helicopter,ASK
Air Ranger 2 Plus: Rescue Helicopter,ASK
AirBlade,Criterion Games
Airborne Troops: Countdown to D-Day •Airborne TroopsPAL,WideScreen Games
Airforce Delta Strike •Deadly Skies IIIPAL •Airforce Delta: Blue Wing KnightsJP,KCE Studios
The Aka-Champion •Simple 2000 Series Vol. 94: The Aka-Champion – Come On BabyJP •Come On Baby!KO,Expotato
