Title,Developer(s)
0 Degrees,Kiddo DevEast Asiasoft LimitedNerd Games
20 Bunnies,EastAsiaSoftNerd Games
3D Billiards: Pool & Snooker Remastered,Joindots
Marvel 1943: Rise of Hydra,Skydance New Media
Abandoned,Blue Box Game Studios
Aeterna Noctis,Aeternum Game Studios
AEW Fight Forever,Yuke's
Age of Wonders 4,Triumph Studios
Alan Wake Remastered,Remedy Entertainment
Alan Wake II,Remedy Entertainment
Alex Kidd in Miracle World DX,Jankenteam
Alfred Hitchcock – Vertigo,Pendulo Studios
Aliens,Sabec Limited
Aliens: Fireteam Elite,Cold Iron Studios
Aliens: Dark Descent,Tindalos Interactive
Alice Gear Aegis CS: Concerto of Simulatrix,Pyramid
Among Us,Innersloth
Animal Well,Billy Basso
Anno 1800,Blue Byte
Avatar: The Last Airbender: Quest for Balance,Bamtang Games
Anno: Mutationem,ThinkingStars
Anodyne 2: Return to Dust,Analgesic Productions
Apex Legends,Respawn Entertainment
Apsulov: End of Gods,Angry Demon Studios
Aragami 2,Lince Works
Arcadegeddon,IllFonic
Armored Core VI: Fires of Rubicon,FromSoftware
Arcade Paradise,Nosebleed Interactive
Archetype Arcadia,Water Phoenix
Arctic Awakening,GoldFire Studios
Arrog,Hermanos MagiaLeap Game Studios
Art of Rally,Funselektor Labs
The Artful Escape,Beethoven & Dinosaur
The Ascent,Neon Giant
Assassin's Creed Valhalla,Ubisoft Montreal
Assassin's Creed Mirage,Ubisoft Bordeaux
Assetto Corsa Competizione,Kunos Simulazioni
Asterigos: Curse of the Stars,Acme Gamestudio
Asterix & Obelix: Slap Them All! 2,Mr Nutz Studio
Astria Ascending,Artisan Studios
Astro Bot,Team Asobi
Astro's Playroom,Japan Studio
Atelier Marie: The Alchemist of Salburg - Digital Deluxe Edition,Gust Co. Ltd.
Atelier Ryza 2: Lost Legends & the Secret Fairy,Gust Co. Ltd.
Atomic Heart,Mundfish
Auto Chess,Dragonest Game
Avatar: Frontiers of Pandora,Massive Entertainment
Marvel's Avengers,Crystal Dynamics
Axiom Verge 2,Thomas Happ Games
Aztech: Forgotten Gods,Lienzo
Babylon's Fall,PlatinumGames
Back 4 Blood,Turtle Rock Studios
Balan Wonderworld,Balan CompanyArzest
Baldur's Gate III,Larian Studios
Battlefield 2042,DICE
Batora: Lost Haven,Stormind Games
Beyond Contact,Playcorp Studios
Beyond a Steel Sky,Revolution Software
The Binding of Isaac: Repentance,Nicalis
Bluey: The Videogame,Artax Games
Biomutant,Experiment 101
Bang-On Balls: Chronicles,Exit Plan Games
Black Legend,Warcave
Black Myth: Wukong,Game Science
Blast Brigade vs. the Evil Legion of Dr. Cread,Allods Team Arcade
Blazing Strike,RareBreed Makes Games
Blood Bowl 3,Cyanide
BloodRayne Betrayal: Fresh Bites,WayForward
Borderlands 3,Gearbox Software
Braid Anniversary Edition,Thekla
Bratz: Flaunt Your Fashion,Petoons Studio
Breakout: Recharged,Adamvision StudiosSneakyBox
Bridge Constructor: The Walking Dead,ClockStone
Bugsnax,Young Horses
C14 Dating,Ratalaika Games
Cocoon,Geometric Interactive
Call of Duty: Black Ops Cold War,Raven SoftwareTreyarch
Call of Duty: Black Ops 6,Raven SoftwareTreyarch
Call of Duty: Modern Warfare II,Infinity Ward
Call of Duty: Modern Warfare III,Infinity Ward
Call of Duty: Vanguard,Sledgehammer Games
Call of Duty: Warzone 2.0,Raven SoftwareInfinity Ward
Call of the Sea,Out of the Blue
The Callisto Protocol,Striking Distance Studios
Can't Drive This,Pixel Maniacs
The Centennial Case: A Shijima Story,h.a.n.d.
Centipede: Recharged,Adamvision StudiosSneakyBox
Century: Age of Ashes,Playwing
Chernobylite,The Farm 51
Crazy Chicken X,Korion Interactive
Crazy Chicken Wanted,Independent Arts Software
Crazy Chicken Kart 2,Korion Interactive
Crazy Chicken Xtreme,Korion Interactive
Crazy Chicken Remake,Independent Arts Software
Crazy Chicken Jump 'n' Run Traps and Treasures,Higgs Games
Crazy Chicken Jump 'n' Run Traps and Treasures 2,Korion Interactive
Chicory: A Colorful Tale,Greg Lobanov
Chivalry 2,Torn Banner Studios
Chorus,Fishlabs
Clash: Artifacts of Chaos,ACE Team
Clid the Snail,Weird Beluga Studio
Company of Heroes 3,Relic Entertainment
Concept Destruction,Ratalaika Games
Concord,Firewalk
Control: Ultimate Edition,Remedy Entertainment
Control 2,Remedy Entertainment
Conway: Disappearance at Dahlia View,White Paper Games
Crash Bandicoot 4: It's About Time,Toys for Bob
Crash Drive 3,M2H
Cricket 22,Big Ant Studios
Crimson Desert,Pearl Abyss
Crimsonland,10tons
Cris Tales,Dreams UncorporatedSYCK
Crisis Core: Final Fantasy VII Reunion,Square Enix
CRSED: F.O.A.D.,Darkflow Studio
Crusader Kings III,Paradox Development StudioLab42 Games
Cthulhu Saves Christmas,Zeboyd Games
Curse of the Sea Rats,Petoon Studios
Curved Space,Only By Midnight
Cyanide & Happiness - Freakpocalypse (Episode 1),Explosm Games Skeleton Crew Studios
Cyberpunk 2077,CD Projekt Red
Cyber Shadow,Mechanical Head Studios
CYGNI: All Guns Blazing,KeelWorks
The Dark Pictures Anthology: House of Ashes,Supermassive Games
Darq: Complete Edition,Unfold Games
Dave the Diver,Mintrocket
Dauntless,Phoenix Labs
Dawn of the Monsters,13AM Games
Daymare: 1994 Sandcastle,Invader Studios
DC League of Super-Pets: The Adventures of Krypto and Ace,PHL Collective
DC Universe Online,Dimensional Ink Games
Dead by Daylight,Behaviour Interactive
Deadcraft,Marvelous First Studio
Dead Island 2,Dambuster Studios
Dead Space,Motive Studios
Deathloop,Arkane Studios
Death's Door,Acid Nerve
Death Stranding 2: On the Beach,Kojima Productions
Death Stranding Director's Cut,Kojima Productions
Days of Doom,SneakyBox
Deathverse: Let It Die,SuperTrick Games
Deceive Inc.,Sweet Bandits Studios
Deep Rock Galactic,Ghost Ship Games
Deliver Us The Moon,KeokeN Interactive
Demon's Souls,Bluepoint GamesJapan Studio
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,CyberConnect2
Demon Turf,Fabraz
Destiny 2,Bungie
Destroy All Humans! 2: Reprobed,Black Forest Games
Destruction AllStars,Lucid GamesWushu Studios
Devil May Cry 5: Special Edition,Capcom
Diablo II: Resurrected,Vicarious Visions
Diablo IV,Blizzard Team 3Blizzard Albany
Dinos Reborn,HardCodeWay
The Diofield Chronicle,Square EnixLancarse
Dirt 5,Codemasters
Disciples: Liberation,Frima Studio
Disco Elysium: The Final Cut,ZA/UM
Disgaea 6: Defiance of Destiny,Nippon Ichi Software
Disgaea 7: Vows of the Virtueless,Nippon Ichi Software
Divine Knockout,Red Beard Games
DNF Duel,NeopleArc System WorksEighting
Doctor Who: The Edge of Reality,Maze Theory
Doki Doki Literature Club Plus!,Team Salvato
Dolmen,Massive Work Studio
Doom Eternal,id Software
Dragon Ball FighterZ,Arc System Works
Dragon Ball Z: Kakarot,CyberConnect2
Dragon Quest X Offline,Square Enix
Dreaming Sarah,Asteristic Game Studio
Dungeons & Bombs,PigeonDev
Dungeons & Dragons: Dark Alliance,Tuque Games
Dustborn,Red Thread Games
Dying: 1983,Nekcom
Dying Light 2: Stay Human,Techland
Dynasty Warriors 9: Empires,Omega Force
Dysmantle,10tons
Earth Defense Force 6,Sandlot
EA Sports PGA Tour,EA Tiburon
Edge of Eternity,Midgard Studio
eFootball 2022,Konami
Eiyuden Chronicle: Hundred Heroes,Rabbit & Bear Studios
Eiyuden Chronicle: Rising,Rabbit & Bear Studios
ELEX II,Piranha Bytes
Elden Ring,FromSoftware
The Elder Scrolls Online,ZeniMax Online Studios
The Elder Scrolls V: Skyrim,Bethesda Game Studios
Ender Lilies: Quietus of the Knights,Live WireAdglobe
Enchanted Portals,Xixo Games Studio
Endless Dungeon,Amplitude Studios
Endling: Extinction is Forever,Herobeat Studios
Enlisted,Darkflow Software
Escape from Life Inc,Sometimes You
Eternal,Asobimo
Earth Defense: World Brothers 2,Yuke's
Ever Forward,Pathea Games
Evergate,Stone Lantern Games
Evil Dead: The Game,Saber Interactive
Evil Genius 2: World Domination,Rebellion Developments
Evil West,Flying Wild Hog
Exophobia,Zarc Attack
Exoprimal,Capcom
F1 2021,Codemasters
F1 22,Codemasters
F1 23,Codemasters
F1 24,Codemasters
F1 Manager 2022,Frontier Developments
The Falconeer: Warrior Edition,Tomas Sala
Fall Guys,Mediatonic
Far Cry 6,Ubisoft Toronto
Farming Simulator 22,Giants Software
Fatal Frame: Maiden of Black Water,Koei Tecmo
Fatal Frame: Mask of the Lunar Eclipse,Koei TecmoGrasshopper Manufacture
FC 24,EA Vancouver
FIFA 21,EA Vancouver
FIFA 22,EA Vancouver
FIFA 23,EA Vancouver
Final Fantasy VII Rebirth,Square Enix
Final Fantasy VII Remake Intergrade,Square Enix
Final Fantasy XIV,Square Enix
Final Fantasy XVI,Square Enix
Fire Commander,Atomix WolfPixel Crow
First Class Trouble,Invisible Walls
F.I.S.T.: Forged In Shadow Torch,TiGames
Five Nights at Freddy's: Security Breach,Steel Wool Studios
Flea Madness,Missset
Flipper Mechanic,SimFabric
Foamstars,Square Enix
Fobia: St. Dinfna Hotel,Pulsatrix Studios
Football Manager 2023,Sports Interactive
Foreclosed,Antab
Forspoken,Luminous Productions
Fortnite,Epic Games
Freddy Spaghetti,Playful Pasta
Freedom Planet 2,GalaxyTrail
Fuga: Melodies of Steel,CyberConnect2
Fuga: Melodies of Steel 2,CyberConnect2
Genshin Impact,miHoYo
Ghost of Tsushima Director's Cut,Sucker Punch Productions
Ghost of Tsushima: Legends,Sucker Punch Productions
Ghostrunner,One More Level
Ghostrunner 2,One More Level
Ghostwire: Tokyo,Tango Gameworks
Godfall,Counterplay Games
God of War Ragnarök,Santa Monica Studio
Goonya Fighter: Purupuru Shokkan Edition,Mutan
Goodbye Volcano High,KO_OP
Gotham Knights,WB Games Montréal
Gothic Remake,THQ Nordic Barcelona
Gran Turismo 7,Polyphony Digital
Granblue Fantasy: Relink,Cygames
Granblue Fantasy Versus: Rising,Arc System Works
GraviFire,Potata Company
Grand Theft Auto Online,Rockstar North
Grand Theft Auto: The Trilogy – The Definitive Edition,Grove Street Games
Grand Theft Auto V,Rockstar North
Grand Theft Auto VI,Rockstar North
Graven,Slipgate Ironworks
GraviFire,Potata Company
GreedFall,Spiders
Grid Legends,Codemasters
Grounded,Obsidian Entertainment
Marvel's Guardians of the Galaxy,Eidos-Montréal
Guilty Gear Strive,Arc System Works
Gungrave G.O.R.E.,Iggymob
Gunvolt Chronicles Luminous Avenger iX 2,Inti Creates
Hades,Supergiant Games
Haunted Space,Italian Games Factory
Haven,The Game Bakers
Heavenly Bodies,2pt Interactive
Helldivers II,Arrowhead Game Studios
Hell is Us,Rogue Factor
Hell Let Loose,Black Matter
Hellpoint,Cradle Games
Hello Neighbor 2,Eerie Guest
Hi-Fi Rush,Tango Gameworks
Hitman 3,IO Interactive
Hogwarts Legacy,Avalanche Software
Hood: Outlaws & Legends,Sumo Digital
Horizon Forbidden West,Guerrilla Games
Hot Wheels Unleashed,Milestone
Hot Wheels Unleashed 2: Turbocharged,Milestone
Hotel Life: A Resort Simulator,RingZero Game Studio
Hunter's Arena: Legends,Mantisco
Human: Fall Flat,No Brakes Games
I Am Dead,Hollow Ponds
Immortals Fenyx Rising,Ubisoft Quebec
Infliction: Extended Cut,Caustic Reality
In Rays of the Light,Sergey Noskov
In Sound Mind,We Create Stuff
Insurgency: Sandstorm,New World Interactive
Iron Harvest,King Art Games
It Takes Two,Hazelight Studios
Jett: The Far Shore,SuperbrothersPine Scented
JoJo's Bizarre Adventure: All Star Battle R,CyberConnect2
Journey to the Savage Planet,Raccoon Logic
Judgment,Ryu Ga Gotoku Studio
A Juggler's Tale,Kaleidoscube
Jump Challenge!,Source Byte
Jurassic World Evolution 2,Frontier Developments
Just Dance 2021,Ubisoft Paris
Just Dance 2022,Ubisoft Paris
Just Dance 2023 Edition,Ubisoft Paris
Just Dance 2024 Edition,Ubisoft Paris
Jydge,10tons
