Title,Developer(s)
3 Ninjas Kick Back,Malibu Interactive
688 Attack Sub,MicroProse
A Ressha de Ikou MD,MNM Software
Aaahh!!! Real Monsters,Realtime Associates
Aah! Harimanada,Sega
Addams Family Values,Ocean Software
The Addams Family,Ocean Software
Advanced Busterhawk Gley Lancer,NCS
Advanced Daisenryaku: Deutsch Dengeki Sakusen,Sega
The Adventures of Batman & Robin,Clockwork Tortoise
The Adventures of Mighty Max,WJS Design
The Adventures of Rocky and Bullwinkle and Friends,Imagineering
Aero the Acro-Bat,Iguana Entertainment
Aero the Acro-Bat 2,Iguana Entertainment
Aerobiz,Koei
Aerobiz Supersonic,Koei
After Burner II,Dempa
Air Buster Aero BlastersJP,Kaneko Inter State
Air Diver,Copya System
Aladdin,Virgin Games USA
Alex Kidd in the Enchanted Castle,Sega
Alien 3,Probe Software
Alien Soldier,Treasure
Alien Storm,Sega
Alisia Dragoon,Game Arts
Altered Beast,Sega
American Gladiators,Imagitec Design
Andre Agassi Tennis,TecMagik
Animaniacs,Konami
Another World Out of This WorldNA,Delphine Software
The Aquatic Games Starring James Pond and The Aquabats,Millennium Interactive
Arcade Classics,Al Baker & Associates
Arch Rivals: The Arcade Game,Arc Developments
Arcus Odyssey,Wolf Team
Ariel the Little Mermaid,BlueSky Software
Arnold Palmer Tournament Golf Naomichi Ozaki no Super MastersJP,Sega
Arrow Flash,I.T.L
Art Alive!,Western Technologies FarSight Technologies
Art of Fighting,Sega
Asterix and the Great Rescue,Core Design
Asterix and the Power of the Gods,Core Design
Atomic Robo-Kid,UPL Khaos
Atomic Runner ChelnovJP,Data East
ATP Tour Championship Tennis,SIMS
Australian Rugby League,I-Space Interactive
Awesome Possum... Kicks Dr. Machino's Butt,Tengen
B.O.B. Space Funky B.O.B.JP,Foley Hi-Tech Systems
Back to the Future Part III,Probe Software
Bahamut Senki,Sega
Ball Jacks,Namco
Ballz 3D: Fighting at its Ballziest Ballz 3D: The Battle of the BallzPAL,PF.Magic
Barbie: Super Model,Tahoe Software
Barkley Shut Up and Jam!,Accolade
Barkley Shut Up and Jam! 2,Accolade
Barney's Hide & Seek Game,Realtime Associates
Bass Masters Classic,Black Pearl Software
Bass Masters Classic: Pro Edition,Black Pearl Software
Batman: The Video Game,Sunsoft
Batman Forever,Probe Entertainment
Batman Returns,Malibu Interactive
Batman: Revenge of the Joker,Ringler Studios
Battle Golfer Yui,Santos
Battle Mania: Daiginjō,Vic Tokai
Battle Master,Nick Pelling
Battle Squadron,Innerprise Software
Battletech: A Game of Armored Combat,Malibu Interactive
Battletoads,Arc System Works
Battletoads & Double Dragon,Rare
Beast Wrestler,Telenet Japan
Beauty & The Beast: Belle's Quest,Software Creations
Beauty & The Beast: Roar of the Beast,Software Creations
Beavis and Butt-Head,Radical Entertainment
The Berenstain Bears' Camping Adventure,Realtime Associates
Best of the Best: Championship Karate The Kick BoxingJP,Loriciel
Beyond Oasis The Story of ThorJP/PAL,Ancient
Bill Walsh College Football,High Score Productions Jim Simmons
Bill Walsh College Football '95,High Score Productions Jim Simmons
Bimini Run,Microsmiths
Bio-Hazard Battle,Sega
Bishōjo Senshi Sailor Moon,Arc System Works TNS
Blades of Vengeance,Beam Software
Blaster Master 2,Software Creations
Blockbuster World Video Game Championship II,Acclaim Entertainment Iguana Entertainment
Blockout,Electronic Arts
Bloodshot Battle FrenzyEU,Domark
Blue Almanac,Hot-B
Bodycount,Probe Software
Bonanza Bros.,Sega
Bonkers,Sega Interactive Development Division
Boogerman: A Pick and Flick Adventure,Interplay
Boxing Legends of the Ring Chavez II MX,Sculptured Software
