Title,Developer(s)
3 Ninjas Kick Back,Malibu Interactive
3×3 Eyes Juuma Houkan,System Supply N-Tech
3×3 Eyes Seima Kourin-den,Nova Games
3rd Super Robot Wars,Banpresto
4 Nin Shougi,Planning Office Wada
4th Super Robot Wars,Banpresto
The 7th Saga •ElnardJP,Produce
90 Minutes European Prime Goal •J.League Soccer Prime Goal 3JP,Namco
A-Train III •AIII S.V.: Let's Take the A-Train 3 Super VersionJP,Pack-In-Video
A.S.P. Air Strike Patrol •Desert FighterEU •Desert Fighter: Suna no Arashi SakusenJP,Opus
Aaahh!!! Real Monsters,Realtime Associates
ABC Monday Night Football,Data EastKuusoukagaku
Accele Brid,Tomy
Acme Animation Factory,Probe Entertainment
Acrobat Mission,Micronics
Action Pachio,Coconuts Japan
ActRaiser [a],Quintet
ActRaiser 2 •ActRaiser 2: Chinmoku e no SeisenJP,Quintet
The Addams Family,Ocean Software
The Addams Family: Pugsley's Scavenger Hunt,Ocean Software
Addams Family Values,Ocean Software
The Adventures of Batman & Robin,Konami
The Adventures of Dr. Franken,MotiveTime
The Adventures of Mighty Max,Ocean Software
The Adventures of Rocky and Bullwinkle and Friends,Imagineering
The Adventures of Tintin: Prisoners of the Sun,Infogrames
Adventures of Yogi Bear •Yogi Bear's Cartoon CapersEU •Yogi BearJP,Blue Turtle
Aero Fighters •Sonic WingsJP,Video System
Aero the Acro-Bat,Iguana Entertainment
Aero the Acro-Bat 2,Iguana Entertainment
Aerobiz •Air Management: Oozora ni KakeruJP,Koei
Aerobiz Supersonic •Air Management II: Koukuu Ou wo MezaseJP [a],Koei
Aim for the Ace!,Nippon Telenet
Air Cavalry,Synergistic Software
Akazukin Chacha,Landwarf
Al Unser Jr.'s Road to the Top,Radical Entertainment
Aladdin,Capcom
Albert Odyssey [a],Sunsoft
Albert Odyssey 2,Sunsoft
Alcahest,HAL Laboratory
Alfred Chicken •Super Alfred ChickenNA,Twilight Games
Alice no Paint Adventure,Pop HouseSAS Sakata
Alien 3,Probe Entertainment
Alien vs Predator •Aliens vs PredatorJP,Jorudan
The Amazing Spider-Man: Lethal Foes,Agenda
America Oudan Ultra Quiz,Genki
American Battle Dome,Betop
American Gladiators,Imagitec Design
An American Tail: Fievel Goes West •Amerika Monogatari 2/Faiberu nishi e IkuJP,Shimada Kikaku
Ancient Magic: Bazoo! Mahou Sekai,Hot-B
Andre Agassi Tennis,Radiance Software
Angelique,Ruby Party
Angelique: Premium Box,Ruby Party
Angelique: Voice Fantasy,Ruby Party
Animaniacs,Konami
Another World •Out of This WorldNA •Outer WorldJP,Delphine Software International
Aoki Densetsu Shoot!,Affect
Appleseed: Oracle of Prometheus,Visit
